CMDLINE /usr/bin/python3 main.py
MEM 81.855469 1750778283.5034
MEM 81.855469 1750778283.6040
MEM 81.855469 1750778283.7045
MEM 81.855469 1750778283.8050
MEM 81.855469 1750778283.9058
MEM 81.855469 1750778284.0065
MEM 81.855469 1750778284.1072
MEM 81.855469 1750778284.2078
MEM 81.855469 1750778284.3085
MEM 81.855469 1750778284.4092
MEM 81.855469 1750778284.5096
MEM 81.855469 1750778284.6103
MEM 81.855469 1750778284.7110
MEM 81.855469 1750778284.8117
MEM 81.855469 1750778284.9123
MEM 81.855469 1750778285.0130
MEM 81.855469 1750778285.1138
MEM 81.855469 1750778285.2145
MEM 81.855469 1750778285.3151
MEM 81.855469 1750778285.4158
MEM 81.855469 1750778285.5166
MEM 81.855469 1750778285.6172
MEM 81.855469 1750778285.7179
MEM 81.855469 1750778285.8186
MEM 81.855469 1750778285.9192
MEM 81.855469 1750778286.0199
MEM 81.855469 1750778286.1206
MEM 81.855469 1750778286.2213
MEM 81.855469 1750778286.3220
MEM 81.855469 1750778286.4227
MEM 81.855469 1750778286.5234
MEM 81.855469 1750778286.6240
MEM 81.855469 1750778286.7247
MEM 81.855469 1750778286.8254
MEM 81.855469 1750778286.9260
MEM 81.855469 1750778287.0267
MEM 81.855469 1750778287.1274
MEM 81.855469 1750778287.2281
MEM 81.855469 1750778287.3288
MEM 81.855469 1750778287.4294
MEM 81.855469 1750778287.5300
MEM 81.855469 1750778287.6308
MEM 81.855469 1750778287.7314
MEM 81.855469 1750778287.8320
MEM 81.855469 1750778287.9327
MEM 81.855469 1750778288.0336
MEM 81.855469 1750778288.1340
MEM 81.855469 1750778288.2344
MEM 81.855469 1750778288.3350
MEM 81.855469 1750778288.4358
MEM 81.855469 1750778288.5364
MEM 81.855469 1750778288.6372
MEM 81.855469 1750778288.7379
MEM 81.855469 1750778288.8386
MEM 81.855469 1750778288.9392
MEM 81.855469 1750778289.0399
MEM 81.855469 1750778289.1405
MEM 81.855469 1750778289.2411
MEM 81.855469 1750778289.3418
MEM 81.855469 1750778289.4425
MEM 81.855469 1750778289.5432
MEM 81.855469 1750778289.6439
MEM 81.855469 1750778289.7446
MEM 81.855469 1750778289.8452
MEM 81.855469 1750778289.9459
MEM 81.855469 1750778290.0467
MEM 81.855469 1750778290.1474
MEM 81.855469 1750778290.2480
MEM 81.855469 1750778290.3488
MEM 81.855469 1750778290.4494
MEM 81.855469 1750778290.5500
MEM 81.855469 1750778290.6506
MEM 81.855469 1750778290.7510
MEM 81.855469 1750778290.8517
MEM 81.855469 1750778290.9524
MEM 81.855469 1750778291.0530
MEM 81.855469 1750778291.1537
MEM 81.855469 1750778291.2543
MEM 81.855469 1750778291.3550
MEM 81.855469 1750778291.4557
MEM 81.855469 1750778291.5563
MEM 81.855469 1750778291.6570
MEM 81.855469 1750778291.7577
MEM 81.855469 1750778291.8584
MEM 81.855469 1750778291.9591
MEM 81.855469 1750778292.0598
MEM 81.855469 1750778292.1605
MEM 81.855469 1750778292.2610
MEM 81.855469 1750778292.3617
MEM 81.855469 1750778292.4621
MEM 81.855469 1750778292.5624
MEM 81.855469 1750778292.6630
MEM 81.855469 1750778292.7637
MEM 81.855469 1750778292.8643
MEM 81.855469 1750778292.9650
MEM 81.855469 1750778293.0657
MEM 81.855469 1750778293.1665
MEM 81.855469 1750778293.2671
MEM 81.855469 1750778293.3677
MEM 81.855469 1750778293.4684
MEM 81.855469 1750778293.5691
MEM 81.855469 1750778293.6697
MEM 81.855469 1750778293.7704
MEM 81.855469 1750778293.8710
MEM 81.855469 1750778293.9717
MEM 81.855469 1750778294.0724
MEM 81.855469 1750778294.1730
MEM 81.855469 1750778294.2737
MEM 81.855469 1750778294.3745
MEM 81.855469 1750778294.4752
MEM 81.855469 1750778294.5760
MEM 81.855469 1750778294.6767
MEM 81.855469 1750778294.7775
MEM 81.855469 1750778294.8781
MEM 81.855469 1750778294.9788
MEM 81.855469 1750778295.0795
MEM 81.855469 1750778295.1802
MEM 81.855469 1750778295.2810
MEM 81.855469 1750778295.3819
MEM 81.855469 1750778295.4825
MEM 81.855469 1750778295.5832
MEM 81.855469 1750778295.6836
MEM 81.855469 1750778295.7843
MEM 81.855469 1750778295.8849
MEM 81.855469 1750778295.9856
MEM 81.855469 1750778296.0859
MEM 81.855469 1750778296.1861
MEM 81.855469 1750778296.2864
MEM 81.855469 1750778296.3867
MEM 81.855469 1750778296.4870
MEM 81.855469 1750778296.5873
MEM 81.855469 1750778296.6876
MEM 81.855469 1750778296.7878
MEM 81.855469 1750778296.8882
MEM 81.855469 1750778296.9884
MEM 81.855469 1750778297.0887
MEM 81.855469 1750778297.1891
MEM 81.855469 1750778297.2894
MEM 81.855469 1750778297.3897
MEM 81.855469 1750778297.4900
MEM 81.855469 1750778297.5903
MEM 81.855469 1750778297.6906
MEM 81.855469 1750778297.7909
MEM 81.855469 1750778297.8912
MEM 81.855469 1750778297.9917
MEM 81.855469 1750778298.0923
MEM 81.855469 1750778298.1930
MEM 81.855469 1750778298.2937
MEM 81.855469 1750778298.3943
MEM 81.855469 1750778298.4950
MEM 81.855469 1750778298.5956
MEM 81.855469 1750778298.6963
MEM 81.855469 1750778298.7970
MEM 81.855469 1750778298.8977
MEM 81.855469 1750778298.9983
MEM 81.855469 1750778299.0990
MEM 81.855469 1750778299.1996
MEM 81.855469 1750778299.3002
MEM 81.855469 1750778299.4009
MEM 81.855469 1750778299.5016
MEM 81.855469 1750778299.6022
MEM 81.855469 1750778299.7029
MEM 81.855469 1750778299.8036
MEM 81.855469 1750778299.9042
MEM 81.855469 1750778300.0049
MEM 81.855469 1750778300.1056
MEM 81.855469 1750778300.2062
MEM 81.855469 1750778300.3065
MEM 81.855469 1750778300.4072
MEM 81.855469 1750778300.5078
MEM 81.855469 1750778300.6085
MEM 81.855469 1750778300.7091
MEM 81.855469 1750778300.8098
MEM 81.855469 1750778300.9105
MEM 81.855469 1750778301.0111
MEM 81.855469 1750778301.1119
MEM 81.855469 1750778301.2126
MEM 81.855469 1750778301.3132
MEM 81.855469 1750778301.4139
MEM 81.855469 1750778301.5147
MEM 81.855469 1750778301.6153
MEM 81.855469 1750778301.7160
MEM 81.855469 1750778301.8167
MEM 81.855469 1750778301.9175
MEM 81.855469 1750778302.0181
MEM 81.855469 1750778302.1189
MEM 81.855469 1750778302.2195
MEM 81.855469 1750778302.3201
MEM 81.855469 1750778302.4208
MEM 81.855469 1750778302.5215
MEM 81.855469 1750778302.6221
MEM 81.855469 1750778302.7228
MEM 81.855469 1750778302.8236
MEM 81.855469 1750778302.9242
MEM 81.855469 1750778303.0249
MEM 81.855469 1750778303.1257
MEM 81.855469 1750778303.2263
MEM 81.855469 1750778303.3270
MEM 81.855469 1750778303.4278
MEM 81.855469 1750778303.5284
MEM 81.855469 1750778303.6291
MEM 81.855469 1750778303.7298
MEM 81.855469 1750778303.8304
MEM 81.855469 1750778303.9310
MEM 81.855469 1750778304.0316
MEM 81.855469 1750778304.1322
MEM 81.855469 1750778304.2329
MEM 81.855469 1750778304.3336
MEM 81.855469 1750778304.4343
MEM 81.855469 1750778304.5349
MEM 81.855469 1750778304.6356
MEM 81.855469 1750778304.7362
MEM 81.855469 1750778304.8369
MEM 81.855469 1750778304.9377
MEM 81.855469 1750778305.0384
MEM 81.855469 1750778305.1392
MEM 81.855469 1750778305.2399
MEM 81.855469 1750778305.3407
MEM 81.855469 1750778305.4413
MEM 81.855469 1750778305.5420
MEM 81.855469 1750778305.6426
MEM 81.855469 1750778305.7432
MEM 81.855469 1750778305.8439
MEM 81.855469 1750778305.9446
MEM 81.855469 1750778306.0453
MEM 81.855469 1750778306.1460
MEM 81.855469 1750778306.2466
MEM 81.855469 1750778306.3472
MEM 81.855469 1750778306.4479
MEM 81.855469 1750778306.5486
